time,index,phase,leftX,leftY,leftZ,rightX,rightY,rightZ,pelvisX,pelvisY,pelvisZ,rootCorrection,leftPlanted,leftAnchorX,leftAnchorZ,leftGround,leftLift,rightPlanted,rightAnchorX,rightAnchorZ,rightGround,rightLift
0,0,转向行进方向,-0.5326851455628525,0.13558276605329744,1.1458539111794976,-0.6857945875314932,0.13558263804483855,1.1898809525334573,-0.6129454637111964,0.927825923677957,1.1549808069212912,0.010043251006406295,,,,,,,,,,
0.016666666666666666,0,转向行进方向,-0.5345075265227113,0.1368598537051519,1.1436433349488424,-0.6857938331659105,0.13558819789150922,1.189883458653496,-0.6132574581327825,0.9278055973360088,1.155071695113064,0.010022924664457991,,,,,,,,,,
0.03333333333333333,0,转向行进方向,-0.53997094922031,0.14168757102582685,1.1378562145385926,-0.685791418499927,0.1356053924396578,1.1898911421415161,-0.614164009105304,0.9277449478805195,1.1553492035656605,0.009962275208968762,,,,,,,,,,
0.05,0,转向行进方向,-0.5493982557411617,0.14878790550619592,1.1299657353533932,-0.6857867996576853,0.1356363045123133,1.1899047351936427,-0.6156155355334879,0.9276429152785296,1.1558358988978794,0.009860242606978792,,,,,,,,,,
0.06666666666666667,0,转向行进方向,-0.5630291640957548,0.1569131121759581,1.1219071852633355,-0.6857789728934119,0.1356846382860249,1.1899255235846211,-0.6175547218890836,0.9274971154960624,1.1565702346822726,0.009714442824511598,,,,,,,,,,
0.08333333333333333,0,转向行进方向,-0.5805842409601103,0.1646303543883617,1.1158076447385266,-0.685766392967746,0.13575562480291314,1.1899552185051736,-0.6199154914677809,0.9273048467909049,1.1576008729364307,0.009522174119354153,,,,,,,,,,
0.1,0,转向行进方向,-0.6010114612017028,0.17057001335734712,1.113603847881601,-0.6857468789914815,0.13585595127304,1.1899957846292828,-0.6226219686272341,0.9270641154803422,1.1589809884128788,0.009281442808791417,,,,,,,,,,
0.11666666666666667,0,转向行进方向,-0.6225269564864302,0.1736631368457759,1.116586271492665,-0.6857175442885327,0.1359936634976519,1.190049200531971,-0.6255879048178838,0.9267746121572397,1.1607626210968818,0.0089919394856889,,,,,,,,,,
0.13333333333333333,0,转向行进方向,-0.642961715663959,0.17332708122610851,1.1250359802052425,-0.6856747904460438,0.1361780073321633,1.19011714449382,-0.6287169320544124,0.9264385790324288,1.1629912092937609,0.008655906360877999,,,,,,,,,,
0.15,0,转向行进方向,-0.6603003980782625,0.16956735782033355,1.1381196407879408,-0.6856144053481926,0.1364192015274604,1.1902006206903648,-0.6319038844034833,0.926061526415061,1.1657005111390106,0.008278853743510284,,,,,,,,,,
0.16666666666666666,0,转向行进方向,-0.6732058985768056,0.1629781842514066,1.1541064269324661,-0.6855317967718395,0.13672817080489108,1.1902995646502617,-0.6350372920875657,0.9256527840883921,1.168908185332365,0.007870111416841345,,,,,,,,,,
0.18333333333333332,0,转向行进方向,-0.6813266678606033,0.15464176262615797,1.1708228763766153,-0.6854223748716567,0.13711631049500045,1.1904124880449305,-0.6380030077973093,0.9252259094796815,1.1726123353585305,0.0074432368081307765,,,,,,,,,,
0.2,0,转向行进方向,-0.6852856920597831,0.14594382950278723,1.1861548478226118,-0.6852820690947276,0.13759539444520624,1.190536235689416,-0.6406887799113932,0.9247990129414768,1.1767893135500442,0.007016340269926015,,,,,,,,,,
0.21666666666666667,0,转向行进方向,-0.6851146146602631,0.14490677622036252,1.1978866273870958,-0.6851079315419889,0.1381777663051949,1.1906659266580903,-0.6429894559324907,0.9243950930914843,1.1813930267161907,0.006612420419933453,,,,,,,,,,
0.23333333333333334,0,转向行进方向,-0.6841476232858399,0.14416562382116477,1.205286865073104,-0.6848987464833238,0.13887696227590107,1.1907951332133555,-0.6448123969962647,0.9240424949895196,1.1863558858255616,0.006259822317968823,,,,,,,,,,
0.25,0,转向行进方向,-0.6838660114102062,0.1430664608008026,1.2078849527953937,-0.6846555434648817,0.13970889588457253,1.190916316151997,-0.6460826253400006,0.9237756064723316,1.1915914080888008,0.0059929338007808294,,,,,,,,,,
0.26666666666666666,0,转向行进方向,-0.6841803348835681,0.14206910642748627,1.2079328622268015,-0.6849530926837054,0.140679987109108,1.1935696306488244,-0.6467472216830833,0.9238841890309979,1.1969983269550772,0.006101516359447123,,,,,,,,,,
0.2833333333333333,0,转向行进方向,-0.6844791563383876,0.14072532678526745,1.2080109849883114,-0.6858769256852533,0.1408633587804909,1.2009466189300628,-0.6467785425388162,0.9236674703588544,1.2024659144551502,0.0058847976873037215,,,,,,,,,,
0.3,0,转向行进方向,-0.6847539786150348,0.13973082108961576,1.20811301507777,-0.6854388470997186,0.14494216108588598,1.212866973898185,-0.6461759344151625,0.9237974740485266,1.2078800924513966,0.006014801376975864,,,,,,,,,,
0.31666666666666665,0,转向行进方向,-0.6849985534589574,0.13889169439426663,1.208231403411187,-0.6816557944339036,0.15347274504477798,1.2282433274422762,-0.644965770424788,0.9240571680111541,1.213129823542653,0.006274495339603319,,,,,,,,,,
0.3333333333333333,0,转向行进方向,-0.685209204510889,0.1381871719465469,1.2083582045068826,-0.6737271368259367,0.16172947022881434,1.2450517724494576,-0.6431998062106226,0.9244044379336724,1.2181132415519862,0.006621765262121691,,,,,,,,,,
